datetime, usd, czk
2021.04.01 00:23:14,59169.70422494,1301718
2021.04.01 00:46:59,59214.65094742,1302708
2021.04.01 01:19:34,59454.65644264,1307988
2021.04.01 01:52:42,59270.48075315,1303940
2021.04.01 02:24:16,59346.60127299,1305612
2021.04.01 02:47:10,59326.03142106,1305172
2021.04.01 03:04:36,59246.62226283,1303412
2021.04.01 03:19:18,59315.01998097,1304930
2021.04.01 03:36:37,59235.17539013,1303170
2021.04.01 03:51:50,59235.94957861,1303170
2021.04.01 04:01:10,59282.65462796,1304204
2021.04.01 04:14:19,59309.43410917,1304798
